abbrev,country_code,name,type
AL,USA,Alabama,
AK,USA,Alaska,
AZ,USA,Arizona,
AR,USA,Arkansas,
CA,USA,California,
CO,USA,Colorado,
CT,USA,Connecticut,
DE,USA,Delaware,
FL,USA,Florida,
GA,USA,Georgia,
HI,USA,Hawaii,
ID,USA,Idaho,
IL,USA,Illinois,
IN,USA,Indiana,
IA,USA,Iowa,
KS,USA,Kansas,
KY,USA,Kentucky,
LA,USA,Louisiana,
ME,USA,Maine,
MD,USA,Maryland,
MA,USA,Massachusetts,
MI,USA,Michigan,
MN,USA,Minnesota,
MS,USA,Mississippi,
MO,USA,Missouri,
MT,USA,Montana,
NE,USA,Nebraska,
NV,USA,Nevada,
NH,USA,New Hampshire,
NJ,USA,New Jersey,
NM,USA,New Mexico,
NY,USA,New York,
NC,USA,North Carolina,
ND,USA,North Dakota,
OH,USA,Ohio,
OK,USA,Oklahoma,
OR,USA,Oregon,
PA,USA,Pennsylvania,
RI,USA,Rhode Island,
SC,USA,South Carolina,
SD,USA,South Dakota,
TN,USA,Tennessee,
TX,USA,Texas,
UT,USA,Utah,
VT,USA,Vermont,
VA,USA,Virginia,
WA,USA,Washington,
WV,USA,West Virginia,
WI,USA,Wisconsin,
WY,USA,Wyoming,
AS,USA,American Samoa,territory
DC,USA,District of Columbia,territory
FM,USA,Federated States of Micronesia,territory
GU,USA,Guam,territory
MH,USA,Marshall Islands,territory
MP,USA,Northern Mariana Islands,territory
PW,USA,Palau,territory
PR,USA,Puerto Rico,territory
VI,USA,Virgin Islands,territory
AAF,USA,Armed Forces Africa,military
AAM,USA,Armed Forces Americas,military
AC,USA,Armed Forces Canada,military
AE,USA,Armed Forces Europe,military
AME,USA,Armed Forces Middle East,military
AP,USA,Armed Forces Pacific,military
AB,CAN,Alberta,
BC,CAN,British Columbia,
MB,CAN,Manitoba,
NB,CAN,New Brunswick,
NL,CAN,Newfoundland and Labrador,
NS,CAN,Nova Scotia,
NT,CAN,Northwest Territories,
NU,CAN,Nunavut,
ON,CAN,Ontario,
PE,CAN,Prince Edward Island,
QC,CAN,Quebec,
SK,CAN,Saskatchewan,
YT,CAN,Yukon,
